2021-09-28 11:03:58,907 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/activemq/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:03:58,995 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-09-28 11:03:59,030 | INFO  | PListStore:[/opt/activemq/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-09-28 11:03:59,207 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:activemq-34617-1632827039036-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:03:59,263 | INFO  | Listening for connections at: tcp://activemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-09-28 11:03:59,264 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-09-28 11:03:59,266 | INFO  | Listening for connections at: amqp://activemq:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-09-28 11:03:59,267 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-09-28 11:03:59,268 | INFO  | Listening for connections at: stomp://activemq:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-09-28 11:03:59,272 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-09-28 11:03:59,274 | INFO  | Listening for connections at: mqtt://activemq:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-09-28 11:03:59,275 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-09-28 11:03:59,337 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@8c3619e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-09-28 11:03:59,360 | INFO  | Listening for connections at ws://activemq:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-09-28 11:03:59,360 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-09-28 11:03:59,361 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:activemq-34617-1632827039036-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:03:59,362 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:03:59,593 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-09-28 11:03:59,829 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-09-28 11:03:59,830 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-09-28 11:03:59,856 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-09-28 11:03:59,956 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-09-28 11:04:00,007 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-09-28 11:17:56,109 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6e06451e: startup date [Tue Sep 28 11:17:56 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-09-28 11:17:56,773 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/activemq/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:17:56,855 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-09-28 11:17:56,886 | INFO  | PListStore:[/opt/activemq/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-09-28 11:17:57,080 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:activemq-45849-1632827876892-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-09-28 11:17:57,141 | INFO  | Listening for connections at: tcp://activemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
